SIDO,GUGUN,DONG,ADD,latitude,longitude,,,,
강원,강릉시,강동면,강원 강릉시 강동면,37.7280308,128.9541928,,,,
강원,강릉시,강릉우체국사서함,강원 강릉시 강릉우체국사서함,37.7527424,128.8925003,,,,
강원,강릉시,강문동,강원 강릉시 강문동,37.7897339,128.9200001,,,,
강원,강릉시,견소동,강원 강릉시 견소동,37.7723797,128.9415613,,,,
강원,강릉시,교1동,강원 강릉시 교1동,37.7655743,128.8747241,,,,
강원,강릉시,교2동,강원 강릉시 교2동,37.7627131,128.8997218,,,,
강원,강릉시,교동,강원 강릉시 교동,37.7670917,128.8866249,,,,
강원,강릉시,구정면,강원 강릉시 구정면,37.7181403,128.8796923,,,,
강원,강릉시,금학동,강원 강릉시 금학동,37.7535999,128.8963545,,,,
강원,강릉시,난곡동,강원 강릉시 난곡동,37.7908354,128.8784577,,,,
강원,강릉시,남문동,강원 강릉시 남문동,37.7490426,128.8878033,,,,
강원,강릉시,남항진동,강원 강릉시 남항진동,37.7598865,128.9554229,,,,
강원,강릉시,내곡동,강원 강릉시 내곡동,37.7390776,128.8808633,,,,
강원,강릉시,노암동,강원 강릉시 노암동,37.7428387,128.8986074,,,,
강원,강릉시,담산동,강원 강릉시 담산동,37.7214697,128.9000678,,,,
강원,강릉시,대전동,강원 강릉시 대전동,37.7938897,128.8550747,,,,
강원,강릉시,두산동,강원 강릉시 두산동,37.7640776,128.9293739,,,,
강원,강릉시,명주동,강원 강릉시 명주동,37.7507099,128.8914359,,,,
강원,강릉시,박월동,강원 강릉시 박월동,37.7284064,128.9108081,,,,
강원,강릉시,병산동,강원 강릉시 병산동,37.7578906,128.9444006,,,,
강원,강릉시,사천면,강원 강릉시 사천면,37.8235253,128.848694,,,,
강원,강릉시,성남동,강원 강릉시 성남동,37.7524714,128.8989897,,,,
강원,강릉시,성내동,강원 강릉시 성내동,37.7522584,128.8933789,,,,
강원,강릉시,성산면,강원 강릉시 성산면,37.7187293,128.8320709,,,,
강원,강릉시,송정동,강원 강릉시 송정동,37.7745182,128.9274687,,,,
강원,강릉시,신석동,강원 강릉시 신석동,37.7312956,128.9242578,,,,
강원,강릉시,안현동,강원 강릉시 안현동,37.8019111,128.8758249,,,,
강원,강릉시,연곡면,강원 강릉시 연곡면,37.8597587,128.8368017,,,,
강원,강릉시,옥계면,강원 강릉시 옥계면,37.6126866,129.0379266,,,,
강원,강릉시,옥천동,강원 강릉시 옥천동,37.7601585,128.9029156,,,,
강원,강릉시,왕산면,강원 강릉시 왕산면,37.6727898,128.8378717,,,,
강원,강릉시,용강동,강원 강릉시 용강동,37.7527426,128.8906269,,,,
강원,강릉시,운산동,강원 강릉시 운산동,37.7262976,128.9337795,,,,
강원,강릉시,운정동,강원 강릉시 운정동,37.7880229,128.8952955,,,,
강원,강릉시,월호평동,강원 강릉시 월호평동,37.7416434,128.939903,,,,
강원,강릉시,유산동,강원 강릉시 유산동,37.7371878,128.9138303,,,,
강원,강릉시,유천동,강원 강릉시 유천동,37.7671113,128.8586435,,,,
강원,강릉시,임당동,강원 강릉시 임당동,37.7558934,128.8945393,,,,
강원,강릉시,입암동,강원 강릉시 입암동,37.7553367,128.9152179,,,,
강원,강릉시,장현동,강원 강릉시 장현동,37.7288212,128.8939201,,,,
강원,강릉시,저동,강원 강릉시 저동,37.7981294,128.8925034,,,,
강원,강릉시,주문진읍,강원 강릉시 주문진읍,37.8940101,128.8234093,,,,
강원,강릉시,죽헌동,강원 강릉시 죽헌동,37.7813425,128.8562267,,,,
강원,강릉시,지변동,강원 강릉시 지변동,37.7745945,128.8671695,,,,
강원,강릉시,청량동,강원 강릉시 청량동,37.7448562,128.9257744,,,,
강원,강릉시,초당동,강원 강릉시 초당동,37.7919049,128.9158303,,,,
강원,강릉시,포남1동,강원 강릉시 포남1동,37.7679076,128.9081098,,,,
강원,강릉시,포남2동,강원 강릉시 포남2동,37.7727681,128.9133312,,,,
강원,강릉시,포남동,강원 강릉시 포남동,37.7748552,128.9078407,,,,
강원,강릉시,학동,강원 강릉시 학동,37.7549517,128.9326169,,,,
강원,강릉시,홍제동,강원 강릉시 홍제동,37.7512031,128.8679856,,,,
강원,강릉시,회산동,강원 강릉시 회산동,37.73815,128.863319,,,,
강원,고성군,간성읍,강원 고성군 간성읍,38.3783643,128.4672371,,,,
강원,고성군,거진읍,강원 고성군 거진읍,38.4362262,128.4525014,,,,
강원,고성군,죽왕면,강원 고성군 죽왕면,38.3288177,128.5255585,,,,
강원,고성군,토성면,강원 고성군 토성면,38.2571927,128.558578,,,,
강원,고성군,현내면,강원 고성군 현내면,38.4944203,128.4276911,,,,
강원,동해시,괴란동,강원 동해시 괴란동,37.5726408,129.0595243,,,,
강원,동해시,구미동,강원 동해시 구미동,37.4817143,129.1298616,,,,
강원,동해시,구호동,강원 동해시 구호동,37.480706,129.1437223,,,,
강원,동해시,귀운동,강원 동해시 귀운동,37.4673232,129.084349,,,,
강원,동해시,나안동,강원 동해시 나안동,37.4854209,129.1130969,,,,
강원,동해시,내동,강원 동해시 내동,37.4599656,129.1296607,,,,
강원,동해시,단봉동,강원 동해시 단봉동,37.468642,129.1169533,,,,
강원,동해시,달방동,강원 동해시 달방동,37.5005027,129.0128097,,,,
강원,동해시,대구동,강원 동해시 대구동,37.4700636,129.1338376,,,,
강원,동해시,대진동,강원 동해시 대진동,37.5753658,129.1106635,,,,
강원,동해시,동해우체국사서함,강원 동해시 동해우체국사서함,37.5236357,129.1153471,,,,
강원,동해시,동호동,강원 동해시 동호동,37.5458554,129.1002092,,,,
강원,동해시,동회동,강원 동해시 동회동,37.4919184,129.1007067,,,,
강원,동해시,만우동,강원 동해시 만우동,37.5524577,129.0685112,,,,
강원,동해시,망상동,강원 동해시 망상동,37.557854,129.1046244,,,,
강원,동해시,묵호진동,강원 동해시 묵호진동,37.5558816,129.1145348,,,,
강원,동해시,발한동,강원 동해시 발한동,37.5505015,129.0946418,,,,
강원,동해시,부곡동,강원 동해시 부곡동,37.5368836,129.104931,,,,
강원,동해시,북평동,강원 동해시 북평동,37.4837244,129.1250137,,,,
강원,동해시,비천동,강원 동해시 비천동,37.5288628,129.0425389,,,,
강원,동해시,삼화동,강원 동해시 삼화동,37.4908884,129.068103,,,,
강원,동해시,송정동,강원 동해시 송정동,37.4996946,129.1285969,,,,
강원,동해시,쇄운동,강원 동해시 쇄운동,37.4682438,129.0604022,,,,
강원,동해시,신흥동,강원 동해시 신흥동,37.51784,128.996874,,,,
강원,동해시,심곡동,강원 동해시 심곡동,37.5820409,129.0771032,,,,
강원,동해시,어달동,강원 동해시 어달동,37.565559,129.1130034,,,,
강원,동해시,용정동,강원 동해시 용정동,37.5068751,129.1206088,,,,
강원,동해시,이기동,강원 동해시 이기동,37.4850142,129.0128763,,,,
강원,동해시,이도동,강원 동해시 이도동,37.4791994,129.1069065,,,,
강원,동해시,이로동,강원 동해시 이로동,37.499351,129.0498465,,,,
강원,동해시,지가동,강원 동해시 지가동,37.4666568,129.104508,,,,
강원,동해시,지흥동,강원 동해시 지흥동,37.5072599,129.0900488,,,,
